i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
85,100,8,0.0,4,12.0,108,31.0,672,0.26666666666666666,-59.96433555107404
86,88,8,0.0,4,40.0,1071,85.0,4089,0.16666666666666666,-40.40737520068526
89,132,4,0.0,1,8.0,55,14.0,171,0.3333333333333333,-11.090354888959125
90,91,9,0.0,4,31.0,952,67.0,4464,0.14444444444444443,-29.83031071006255
90,92,9,0.0,4,31.0,952,67.0,4464,0.14444444444444443,-29.83031071006255
91,93,9,0.0,4,35.0,1224,66.0,4340,0.14444444444444443,-29.83031071006255
91,94,9,0.0,4,23.0,408,45.0,1736,0.14444444444444443,-23.82303514520969
92,93,9,0.0,4,35.0,1224,66.0,4340,0.14444444444444443,-29.83031071006255
92,94,9,0.0,4,23.0,408,45.0,1736,0.14444444444444443,-23.82303514520969
94,136,3,0.0,2,6.0,0,14.0,0,0.25,-8.798022412760561
96,97,4,0.0,4,3.0,9,9.0,80,0.2916666666666667,-10.351288712568277
96,98,6,0.0,4,4.5,18,13.0,144,0.275,-22.308678421710468
97,99,4,0.0,4,4.0,15,11.5,130,0.2916666666666667,-11.436830961631715
98,145,3,0.0,2,3.0,0,9.0,0,0.25,-10.228488553430552
98,102,6,0.0,4,5.0,24,15.5,234,0.275,-26.500448707968395
99,100,8,0.0,4,11.5,90,30.5,624,0.25,-55.69911804297978
100,101,8,0.0,4,14.0,180,35.0,1056,0.26666666666666666,-63.20805641593935
100,102,8,0.0,4,11.0,72,30.5,624,0.25,-59.089006471052706
101,125,6,0.0,4,12.0,140,32.0,924,0.3,-25.65999671409633
104,106,9,0.0,4,23.0,520,51.0,2576,0.2833333333333333,-69.41042316723347
104,135,6,0.0,2,13.0,120,30.0,644,0.3,-35.8122453599122
106,107,6,0.0,2,18.0,260,36.0,896,0.3,-29.83967704531492
