i,j,EBC,CFEdge,BridgeImpact,MinCutCrit,line_name,line_voltage,length_m
479,5785,0.12398438479083648,0.10940698795760984,0.0,0.0009925558312655087,新所沢線 (Shin Tokorozawa Sen),500000,18855.2847704253
1395,146,0.01282051282051282,0.012820512820513611,0.0064102564102563875,0.008271298593879239,東群馬幹線;東群馬幹線,500000;500000,43936.9834536678
146,7911,0.062448304383788254,0.06244830438378894,0.03205128205128205,0.039205955334987594,新新潟幹線,500000,25823.2803162955
146,500,0.0315282208830596,0.097152129811505,0.0,0.002977667493796526,西群馬幹線;西群馬幹線 (Nishi Gunma Kansen),500000;500000;500000;500000;500000,136875.323567207
312,6069,0.07444168734491315,0.07444168734491328,0.038461538461538436,0.01695616211745244,西越谷線 (Nishi Koshigaya Sen),275000,9624.41707171768
312,5788,0.014212848083815824,0.044303626092145665,0.0,0.006534325889164599,,275000;154000,2797.33805330698
312,5766,0.025888376856118788,0.1167867893483503,0.0,0.007113316790736146,東京北線 (Tōkyō Kita Sen),275000,2388.2425223831
312,5793,0.05028949545078577,0.05028949545078609,0.02564102564102566,0.01315136476426799,春日部線 (Kasukabe Sen),275000,5413.40463701709
312,5567,0.06437788018433183,0.1736124312085036,0.0,0.006038047973531845,東京中線;東京中線;東京中線,275000;66000;275000;275000,12281.1063170097
189,5748,0.05028949545078577,0.05028949545078623,0.02564102564102566,0.023076923076923078,東京西線;東京西線;東京西線;東京西線;東京西線; 愛宕線,275000;275000;275000;275000;275000;66000,5759.84106547467
189,401,0.20015511370350086,0.20662602028902335,0.0,0.0048800661703887515,只見幹線;只見幹線;只見幹線,275000;275000;275000,16966.2398922405
189,5564,0.0669285911221395,0.07291267063007423,0.0,0.0022332506203473945,"京浜線3,4号線;京浜線3,4号線",275000;275000,9310.28983338234
175,189,0.01282051282051282,0.012820512820513615,0.0064102564102563875,0.011827956989247311,港北線,275000,4289.42488033391
188,189,0.03796526054590571,0.037965260545906175,0.019230769230769273,0.012737799834574029,西北線,275000,1128.00200231988
189,9174,0.0498380472574021,0.1193014585659897,0.0,0.008850289495450785,佐久間東幹線;佐久間東幹線;佐久間東幹線;佐久間東幹線;佐久間東幹線;佐久間東幹線,275000;275000;275000;275000;275000,11358.6379345222
181,189,0.0669285911221395,0.07291267063007442,0.0,0.002150537634408602,"京浜線1,2号線;京浜線1,2号線;京浜線1,2号線",275000,9050.78933176313
1065,5748,0.03796526054590571,0.037965260545905946,0.019230769230769273,0.002150537634408602,府中線;東京西線; 由木線;東京西線; 由木線;東京西線; 由木線; 府中線;府中線,66000;275000;66000;275000;66000;275000;66000;66000,870.974564955157
332,6545,0.01282051282051282,0.01282051282051295,0.0064102564102563875,0.0020678246484698098,新座線; 下清戸線;新座線; 下清戸線,275000;154000;275000;154000,3397.62871362881
5972,6545,0.025475599669148058,0.025475599669148315,0.012820512820512775,0.01488833746898263,新座線;新座線; unknown;新座線; unknown,275000;275000;275000,5682.61630242648
1065,7207,0.025475599669148058,0.025475599669148478,0.012820512820512775,0.0022332506203473945,東京西線; 由木線; 府中線;東京西線; 由木線; 府中線;東京西線,275000;66000;275000;275000,3931.08283165946
6418,7207,0.01282051282051282,0.012820512820513157,0.0064102564102563875,0.008602150537634409,東京西線; 由木線,275000,267.941499758699
5741,5843,0.06192445547284257,0.10057189102816233,0.0,0.0034739454094292804,秦浜線; 湘南線; 東秦野線,275000;154000,252.796693455541
500,5850,0.026965221158769544,0.09719529235056278,0.0,0.003391232423490488,,500000,663.058132174991
5850,5852,0.04400252077671433,0.10239478932785472,0.0,0.006534325889164599,,500000,21692.5954888674
2104,5850,0.01282051282051282,0.012820512820513214,0.0064102564102563875,0.012655086848635236,,500000;500000;500000,18820.4719968942
