i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
21,43,28,0.1,9,343.5,110160,765.0,497016,0.08703703703703704,-166.93110265334496
22,31,66,0.13333333333333333,9,397.5,152750,1340.0,1565200,0.06517006802721087,-543.0693450125966
22,23,99,0.0,9,467.0,218080,1582.0,2446080,0.08974624060150378,-1578.085008299608
22,45,33,0.0,9,312.0,72380,1074.0,596960,0.09871794871794871,-570.448416391432
22,46,44,0.0,9,338.5,97290,1184.5,999180,0.0813095238095238,-604.0436895319817
22,47,44,0.0,9,347.5,105750,1162.0,917280,0.07933106575963718,-577.090616187612
23,29,9,0.0,3,232.0,0,672.0,0,0.1,-183.08162554203963
23,26,45,0.07692307692307693,9,378.0,135488,1002.0,887040,0.06544566544566544,-295.51277585911237
23,24,81,0.2,9,520.0,267264,1412.0,1989120,0.0578344671201814,-501.5549748658094
23,32,54,0.0,9,412.0,167040,1099.5,1149120,0.09460884353741497,-620.357036196517
23,27,36,0.08333333333333333,9,341.5,101616,913.5,649152,0.05627705627705627,-191.50286601087268
23,28,36,0.0,9,319.0,80736,892.5,592704,0.054128510378510374,-214.21246363337966
24,26,45,0.16666666666666666,9,434.0,168192,1070.0,976800,0.08901515151515152,-351.02889772852643
24,33,36,0.08333333333333333,9,384.0,110592,944.0,603840,0.11957070707070706,-429.61220208712086
24,46,36,0.0,9,391.5,119232,1014.5,812520,0.08414224664224663,-378.8233941828047
24,48,18,0.0,6,330.0,48384,815.0,222000,0.08902597402597402,-228.80905800132032
25,26,25,0.0,9,288.0,82928,656.0,430320,0.09388888888888888,-143.0250700823914
25,27,20,0.125,9,251.5,62196,567.5,314916,0.0784438775510204,-63.40148910542093
25,28,20,0.125,9,229.0,49416,546.5,287532,0.0671343537414966,-54.85038612998989
26,33,20,0.125,9,242.0,56064,534.0,269280,0.11772959183673469,-107.2423546310132
26,34,20,0.0,9,252.5,62196,538.5,275220,0.13105158730158728,-148.14836316221619
28,31,24,0.1111111111111111,9,249.5,56550,650.5,379260,0.07652116402116402,-98.09429104474452
31,32,36,0.09090909090909091,9,342.5,117000,857.5,735300,0.09348484848484849,-248.06878229273752
32,34,24,0.0,9,286.5,76680,636.0,356535,0.13555555555555557,-229.33372583042313
32,47,24,0.0,9,292.5,81000,679.5,430920,0.08925925925925926,-160.42002652084108
32,48,12,0.0,6,222.0,30240,502.5,128250,0.11889880952380952,-100.19804442267981
33,49,24,0.0,9,286.0,72960,529.0,265200,0.10592592592592592,-154.40404312003628
33,51,20,0.0,9,196.0,38400,392.0,153408,0.11193783068783067,-103.78486472494004
34,50,24,0.0,9,284.0,75615,511.0,252285,0.1087037037037037,-159.680996112686
34,51,20,0.0,9,206.5,42600,396.5,156792,0.11471560846560847,-107.20584997825307
35,36,8,0.0,4,75.5,4830,111.0,10557,0.25,-63.45467129945882
35,37,8,0.0,4,74.0,4515,110.5,10404,0.23333333333333334,-60.98356087746125
35,38,8,0.0,4,76.5,5040,112.5,11016,0.25,-63.45467129945882
35,39,12,0.0,4,67.5,3150,99.5,7038,0.2857142857142857,-106.39305537643209
36,40,8,0.0,6,150.5,11730,250.5,29808,0.25,-63.38490335449146
37,41,10,0.0,6,191.5,14620,324.0,39440,0.21428571428571427,-104.04623595682779
39,56,3,0.0,2,15.0,0,23.0,0,0.25,-12.829998357048165
39,58,6,0.0,4,28.5,810,42.0,1748,0.3,-29.818879797456006
40,42,20,0.125,9,305.5,90780,548.0,286848,0.15922619047619047,-142.60923568270283
40,43,16,0.14285714285714285,9,255.0,65025,450.0,202176,0.16666666666666666,-91.94253205720183
41,42,25,0.1111111111111111,9,348.0,121040,622.0,385120,0.18055555555555552,-241.8024915997269
41,44,20,0.125,9,326.0,106080,540.5,290580,0.17410714285714285,-158.75304151125474
42,46,20,0.0,9,281.5,73692,606.5,364536,0.13392857142857142,-170.14153523405713
43,47,16,0.0,9,240.0,57375,486.0,235872,0.13154761904761905,-103.53835563264819
45,49,18,0.0,9,267.0,58520,489.0,213200,0.09503968253968254,-99.95871290392635
45,50,18,0.0,9,254.5,54670,466.5,198440,0.09503968253968254,-100.13584593002257
46,49,24,0.0,9,293.5,78660,599.5,356850,0.14666666666666667,-221.99037225467103
47,50,24,0.0,9,290.0,79875,554.5,304920,0.14666666666666667,-211.97144542918434
49,52,18,0.125,9,224.0,25840,396.0,92300,0.08350340136054421,-59.938657593334064
49,54,18,0.125,9,224.0,25840,393.0,88400,0.08482142857142858,-59.401750031515654
49,53,36,0.2,9,275.0,64600,495.0,221000,0.0714021164021164,-105.32129018240018
50,52,18,0.125,9,211.5,24140,373.5,85910,0.08350340136054421,-60.0597046577923
50,55,18,0.125,9,210.5,23430,369.5,81070,0.08482142857142858,-59.524707716645075
50,53,36,0.2,9,262.5,60350,472.5,205700,0.07140211640211641,-105.48763744664296
51,54,15,0.14285714285714285,9,134.0,13600,256.0,51136,0.08276643990929705,-32.93771641752902
51,55,15,0.14285714285714285,9,133.0,13200,255.0,50384,0.08276643990929705,-32.93771641752902
51,53,30,0.2222222222222222,9,185.0,34000,358.0,127840,0.0548941798941799,-54.17408453076332
52,53,18,0.2857142857142857,9,119.0,11560,241.0,48280,0.07142857142857142,-31.131822318493704
53,54,18,0.2857142857142857,9,119.0,11560,238.0,46240,0.07142857142857142,-30.28916451708628
53,55,18,0.2857142857142857,9,118.0,11220,237.0,45560,0.07142857142857142,-30.28916451708628
59,60,20,0.125,12,1661.5,2527776,2070.0,3932064,0.15476190476190474,-158.25224050980287
59,61,28,0.0,12,4069.5,8205840,4887.0,12247848,0.2053030303030303,-593.5806462967394
59,62,36,0.08333333333333333,12,4841.5,10026216,6238.0,16236000,0.14393939393939395,-612.9065781632057
59,63,8,0.0,6,682.0,218115,848.5,326196,0.26666666666666666,-82.40461553033079
60,64,40,0.08333333333333333,16,4932.5,16553824,5966.0,24689952,0.10820707070707071,-402.3031370784736
60,65,20,0.0,16,2627.5,6669984,3280.5,10381608,0.1909722222222222,-249.00962941838148
60,62,45,0.16666666666666666,16,5324.0,18232576,6832.0,29304000,0.08832070707070705,-410.5221516275339
60,66,40,0.18181818181818182,16,5230.0,17829504,6785.0,29053584,0.09848484848484848,-303.3015055914277
61,81,42,0.0,16,6462.5,41516400,7911.5,62442450,0.15993589743589745,-855.2134365979265
61,127,35,0.0,12,5520.0,28396800,6681.0,42021072,0.201010101010101,-783.3903431044573
61,139,49,0.0,20,6270.0,38836800,9600.0,90464796,0.24221611721611722,-1715.8091547660554
61,88,28,0.0,16,4449.0,13488480,5337.0,19716048,0.1583333333333333,-494.0955829890917
61,90,35,0.0,16,4784.0,18151680,5765.0,26819136,0.1470959595959596,-592.9111637388684
61,103,28,0.0,16,4837.5,18896400,5931.0,29574072,0.18181818181818182,-578.1494612386477
62,67,54,0.0,16,7394.5,53447640,9772.5,93995000,0.14909297052154197,-1278.0749100002852
62,75,36,0.0,16,5893.0,27910128,7463.5,43197000,0.11073717948717948,-552.296519769556
62,82,45,0.0,16,5720.0,24967744,7376.0,41272000,0.15402930402930404,-1008.1131104305093
62,86,45,0.07692307692307693,16,5398.0,19491168,6960.0,32120000,0.1007554945054945,-535.7943349641837
62,117,63,0.06666666666666667,20,7345.0,52605744,10429.0,108438000,0.11075963718820862,-1004.5690201482753
