i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
87,156,18,0.0,4,116.0,9360,246.0,39780,0.18287037037037035,-216.20782754739997
87,92,12,0.0,4,103.5,4860,220.5,19890,0.13690476190476192,-114.83776882391507
87,150,24,0.1111111111111111,4,147.0,20520,313.5,92430,0.20833333333333334,-289.07428977146157
87,157,12,0.0,4,102.5,4500,218.5,18330,0.1369047619047619,-111.92834839084412
88,221,4,0.0,4,31.0,952,52.0,2688,0.3333333333333333,-18.257392765871344
89,90,8,0.0,4,55.0,2184,110.0,8004,0.26666666666666666,-67.72719917622949
89,91,8,0.0,4,52.5,1764,105.0,6264,0.22222222222222224,-54.06149968726637
89,92,8,0.0,4,55.5,2268,112.5,8874,0.15833333333333333,-42.48702672965509
90,132,8,0.0,4,49.0,1872,86.0,5796,0.26666666666666666,-77.63248422271387
91,155,6,0.0,4,26.5,672,47.0,2088,0.23333333333333334,-22.51654923483834
93,135,4,0.0,4,23.5,522,39.5,1518,0.3333333333333333,-17.528106538695525
96,97,4,0.0,4,28.0,784,48.5,2352,0.2916666666666667,-16.16157447095327
98,99,6,0.0,4,4.5,18,13.5,162,0.3,-29.818879797456006
98,100,6,0.0,4,6.5,42,15.5,234,0.3,-29.818879797456006
98,101,6,0.0,2,4.5,18,13.5,162,0.3,-29.818879797456006
99,356,4,0.0,4,3.0,9,8.5,72,0.3333333333333333,-12.712215321391781
100,279,4,0.0,4,11.5,112,19.0,325,0.3333333333333333,-12.712215321391781
101,102,4,0.0,1,3.0,9,8.5,72,0.3333333333333333,-12.712215321391781
102,126,4,0.0,1,3.0,9,7.5,56,0.3333333333333333,-11.090354888959125
103,104,4,0.0,4,2.0,4,6.0,36,0.3333333333333333,-11.090354888959125
103,105,4,0.0,4,2.0,4,6.0,36,0.3333333333333333,-11.090354888959125
104,106,4,0.0,4,2.0,4,6.0,36,0.3333333333333333,-11.090354888959125
105,298,4,0.0,4,2.5,6,6.5,42,0.3333333333333333,-11.090354888959125
106,228,4,0.0,4,2.5,6,6.5,42,0.3333333333333333,-11.090354888959125
107,108,18,0.125,4,59.5,2890,141.5,15990,0.17857142857142858,-140.13028561639513
107,109,6,0.25,4,24.5,510,55.5,2574,0.16666666666666666,-12.218495165528731
108,109,12,0.14285714285714285,4,50.0,1275,119.0,6765,0.11904761904761904,-62.544755824316184
108,110,18,0.125,4,56.5,2380,138.5,14760,0.17857142857142858,-147.06175742199457
108,111,18,0.125,4,57.5,2550,140.5,15580,0.16964285714285715,-142.52461919888992
108,112,24,0.1111111111111111,4,65.0,3825,156.5,22140,0.20833333333333334,-250.01751372334365
108,113,18,0.125,4,56.5,2380,142.5,16400,0.16964285714285715,-146.3765377259175
110,111,9,0.2,4,29.0,840,74.0,5472,0.2,-36.77379401722386
110,267,9,0.0,4,32.0,1008,69.0,4752,0.3,-63.885380747317086
111,115,12,0.0,4,48.0,1980,102.5,9804,0.27380952380952384,-112.83078103172572
112,296,8,0.0,2,28.5,540,66.5,2700,0.26666666666666666,-63.724364585039936
112,297,8,0.0,4,28.5,540,66.5,2700,0.26666666666666666,-63.724364585039936
112,113,12,0.16666666666666666,4,36.5,1260,94.0,8640,0.2,-69.36343271062549
114,115,8,0.0,4,43.5,1386,84.0,5031,0.26666666666666666,-72.17278597903444
115,116,8,0.0,4,43.5,1386,83.5,4902,0.25,-64.62099854453356
115,117,8,0.0,4,42.0,1188,78.0,3483,0.26666666666666666,-63.38388766968957
117,351,4,0.0,4,19.0,360,27.5,756,0.3333333333333333,-13.862943611198904
119,344,4,0.0,4,11.0,112,22.0,459,0.3333333333333333,-15.484804043631563
121,350,6,0.0,2,15.0,144,33.0,800,0.3,-31.450482090357855
122,123,4,0.0,1,1.0,1,4.5,20,0.3333333333333333,-11.090354888959125
122,124,4,0.0,1,1.5,2,5.5,30,0.3333333333333333,-11.090354888959125
123,125,4,0.0,1,1.0,1,3.5,12,0.3333333333333333,-8.317766166719343
124,248,4,0.0,1,4.0,12,8.0,60,0.3333333333333333,-11.090354888959125
125,252,2,0.0,1,0.5,0,1.5,0,0.3333333333333333,-2.772588722239781
126,127,4,0.0,1,2.5,6,6.5,42,0.3333333333333333,-11.090354888959125
127,253,4,0.0,1,1.5,2,5.5,30,0.3333333333333333,-11.090354888959125
128,129,4,0.0,1,9.0,77,17.5,286,0.3333333333333333,-13.862943611198904
128,130,4,0.0,1,5.5,28,10.5,104,0.3333333333333333,-11.090354888959125
129,131,8,0.0,2,31.0,561,63.5,2310,0.26666666666666666,-56.394038730046695
130,167,4,0.0,1,3.0,8,7.0,48,0.3333333333333333,-11.090354888959125
131,198,20,0.125,4,89.5,6528,176.5,26040,0.21428571428571427,-182.5172770648001
131,199,8,0.2,4,34.0,867,70.0,3675,0.15,-24.090252282802687
132,133,16,0.0,4,64.5,4104,126.0,15876,0.2857142857142857,-217.204184619954
132,134,16,0.0,4,51.0,2160,96.0,8316,0.2857142857142857,-199.62638800126425
132,135,8,0.0,4,45.0,1296,79.5,4158,0.26666666666666666,-72.0873067782343
133,201,8,0.0,4,40.0,1311,86.0,5796,0.26666666666666666,-78.57474850796494
133,202,8,0.0,2,36.5,912,76.5,3402,0.26666666666666666,-69.78585019862007
134,175,8,0.0,2,18.5,210,41.0,1056,0.26666666666666666,-60.99695188927519
134,203,8,0.0,4,18.5,210,41.0,1056,0.26666666666666666,-60.99695188927519
134,204,4,0.0,2,15.0,0,33.0,0,0.2,-27.72588722239781
136,137,8,0.0,4,51.5,1596,99.0,5832,0.23333333333333334,-58.96978637029878
138,139,4,0.0,4,8.0,55,13.0,153,0.3333333333333333,-11.090354888959125
138,140,4,0.0,4,16.5,242,27.0,629,0.3333333333333333,-13.862943611198904
139,141,4,0.0,4,4.5,20,9.0,81,0.3333333333333333,-11.090354888959125
140,224,8,0.0,4,63.5,2310,120.5,7548,0.26666666666666666,-67.81096957516786
141,210,4,0.0,4,6.0,32,12.0,135,0.3333333333333333,-12.712215321391781
142,143,4,0.0,2,7.5,0,16.5,0,0.2,-24.953298500158027
142,144,8,0.0,4,11.0,105,24.5,528,0.26666666666666666,-55.45177444479562
142,145,8,0.0,4,9.0,45,21.5,330,0.26666666666666666,-55.45177444479562
142,146,8,0.0,4,9.0,45,21.5,330,0.26666666666666666,-55.45177444479562
